time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.007041535664992881,-0.010764295661708029,0.01656356936183143,0.7181387502805635,-1.0659307178088355,1.6594398387627791,0.7003565991210953,-1.0775892000224019,1.6519886786949949
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.024460652726091495,-0.0359908601662951,0.05061915591881576,1.1037401529054116,-1.4016606780150838,1.7840118150077677,1.040757886770163,-1.4448751176185952,1.750329532606702
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.04691665981405961,-0.06580527607970871,0.08497536938679763,1.3157805814670616,-1.4554968305759053,1.7507789690983224,1.20502895366348,-1.5360057945572543,1.6842357746471166
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.07178314449193449,-0.0963837399378908,0.11780208738489185,1.4357847730848168,-1.4032613807198913,1.6961498246665327,1.2819483047328062,-1.5212979876767223,1.5985571062748996
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.09776060032698022,-0.12626097222101015,0.1488820351588249,1.5062618414912168,-1.3127389697715732,1.6339615085698214,1.3161075851963093,-1.465953693862846,1.5100504040864475
0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.12421222297238242,-0.15487684999277393,0.17819156002679745,1.5486276935438714,-1.2104588280225466,1.5666980549046794,1.3293220695055865,-1.395235961828666,1.421676804739629
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.15082454547875193,-0.18202302841740997,0.20574400551473002,1.5736840218046175,-1.1068959052068892,1.495613013504537,1.3321381203927902,-1.3190507881834774,1.334363620535759
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.1774401826263064,-0.20762957205274865,0.23156490608921576,1.5869865163014265,-1.0062025752153663,1.4215996271445384,1.3296219888000396,-1.241331241782534,1.2484880337665116
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.2039766427552089,-0.23168173354908506,0.2556847952935194,1.5915154206782187,-0.9100115102142481,1.3453304095728318,1.3241959174294928,-1.163662895587579,1.1642092775329085
0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.23038720141320657,-0.25418714985503477,0.27813629518217114,1.5889884665377403,-0.818935967196415,1.2673315717763494,1.3170126376550755,-1.0866989629407708,1.0815921812905755
0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.2566421315482962,-0.27516277329670213,0.2989528494648588,1.580500552043673,-0.7331686166610162,1.18803023908668,1.3086175665370918,-1.0107182946823061,1.0006602600500554
