k11,k12,k13,k21,k22,k23,gamma,lambda
2.7272491455078125,0.8758208155632019,1.7122163772583008,2.18415904045105,0.24184992909431458,0.3685239851474762,2.5281970500946045,2.7466981410980225
2.727255344390869,0.8758155703544617,1.7122235298156738,2.18416428565979,0.24184930324554443,0.3685205280780792,2.5281989574432373,2.746704339981079
2.7272603511810303,0.875809907913208,1.7122297286987305,2.184168577194214,0.24184924364089966,0.36851707100868225,2.528200626373291,2.7467093467712402
2.727264881134033,0.8758038878440857,1.7122358083724976,2.1841726303100586,0.2418496310710907,0.3685136139392853,2.5282022953033447,2.746713161468506
2.7272682189941406,0.8757975101470947,1.712241291999817,2.184176206588745,0.24185042083263397,0.36851024627685547,2.5282034873962402,2.7467164993286133
2.727271318435669,0.8757909536361694,1.7122464179992676,2.1841797828674316,0.2418515682220459,0.36850693821907043,2.5282044410705566,2.746718645095825
2.727274179458618,0.8757842779159546,1.71225106716156,2.18418288230896,0.2418529987335205,0.36850371956825256,2.528205156326294,2.7467200756073
2.727276086807251,0.8757774829864502,1.7122553586959839,2.184185743331909,0.24185462296009064,0.3685005009174347,2.5282061100006104,2.746721029281616
2.7272777557373047,0.8757705688476562,1.7122595310211182,2.1841883659362793,0.24185645580291748,0.36849740147590637,2.5282063484191895,2.7467215061187744
2.727278709411621,0.8757637143135071,1.7122633457183838,2.184190511703491,0.24185848236083984,0.3684944212436676,2.5282068252563477,2.7467215061187744
2.7272796630859375,0.8757568001747131,1.7122665643692017,2.184192657470703,0.24186059832572937,0.3684915006160736,2.5282068252563477,2.746720790863037
2.7272801399230957,0.8757500052452087,1.7122694253921509,2.184194564819336,0.24186283349990845,0.3684886693954468,2.5282068252563477,2.7467198371887207
2.7272801399230957,0.8757432699203491,1.7122726440429688,2.1841962337493896,0.2418651133775711,0.3684859275817871,2.5282065868377686,2.746718645095825
2.7272801399230957,0.8757367134094238,1.7122750282287598,2.184197425842285,0.24186745285987854,0.3684833347797394,2.5282063484191895,2.7467167377471924
2.7272799015045166,0.8757302761077881,1.7122774124145508,2.1841986179351807,0.24186980724334717,0.3684808015823364,2.5282061100006104,2.7467148303985596
2.7272791862487793,0.8757239580154419,1.7122794389724731,2.184199810028076,0.2418721467256546,0.3684784471988678,2.528205633163452,2.7467126846313477
2.727278232574463,0.8757179379463196,1.7122812271118164,2.1842010021209717,0.24187451601028442,0.3684762120246887,2.5282046794891357,2.7467103004455566
2.7272775173187256,0.8757120370864868,1.7122831344604492,2.18420147895813,0.24187684059143066,0.3684740364551544,2.5282042026519775,2.7467076778411865
2.72727632522583,0.8757063746452332,1.7122845649719238,2.184202194213867,0.24187912046909332,0.36847200989723206,2.5282034873962402,2.7467050552368164
2.7272748947143555,0.8757009506225586,1.7122857570648193,2.1842024326324463,0.2418813556432724,0.36847010254859924,2.528202533721924,2.746701955795288
2.727273464202881,0.8756957054138184,1.7122868299484253,2.1842024326324463,0.2418835461139679,0.3684682548046112,2.5282015800476074,2.746699094772339
2.727271795272827,0.8756906986236572,1.7122880220413208,2.1842026710510254,0.24188566207885742,0.3684665858745575,2.528200387954712,2.7466959953308105
2.7272703647613525,0.8756858706474304,1.7122888565063477,2.1842029094696045,0.24188774824142456,0.36846494674682617,2.5281996726989746,2.7466928958892822
2.727268695831299,0.8756811618804932,1.712289810180664,2.1842029094696045,0.24188974499702454,0.3684634566307068,2.528198480606079,2.746689558029175
2.727266788482666,0.875676691532135,1.7122902870178223,2.1842026710510254,0.24189166724681854,0.3684619665145874,2.5281970500946045,2.7466864585876465
2.7272651195526123,0.8756723403930664,1.7122907638549805,2.1842024326324463,0.24189354479312897,0.3684605360031128,2.528196096420288,2.746683359146118
2.7272632122039795,0.8756682276725769,1.7122912406921387,2.184201955795288,0.2418953776359558,0.36845919489860535,2.5281949043273926,2.7466797828674316
2.7272610664367676,0.8756641149520874,1.7122915983200073,2.184201717376709,0.24189721047878265,0.36845794320106506,2.528193712234497,2.7466766834259033
2.7272591590881348,0.8756603002548218,1.7122917175292969,2.184201240539551,0.24189896881580353,0.36845681071281433,2.5281922817230225,2.746673107147217
2.727257251739502,0.8756564855575562,1.7122918367385864,2.1842005252838135,0.2419007122516632,0.368455708026886,2.528190851211548,2.7466697692871094
2.72725510597229,0.8756529092788696,1.7122918367385864,2.1842000484466553,0.2419024109840393,0.3684546649456024,2.5281896591186523,2.746666193008423
2.727252960205078,0.8756493330001831,1.7122917175292969,2.184199333190918,0.2419041395187378,0.36845365166664124,2.5281879901885986,2.7466626167297363
2.727250576019287,0.8756457567214966,1.7122912406921387,2.1841986179351807,0.24190586805343628,0.36845263838768005,2.528186559677124,2.74665904045105
2.727248191833496,0.8756421804428101,1.71229088306427,2.1841979026794434,0.24190764129161835,0.36845168471336365,2.5281851291656494,2.746655225753784
2.727245330810547,0.8756386041641235,1.7122905254364014,2.184196710586548,0.2419094741344452,0.36845067143440247,2.5281834602355957,2.7466511726379395
2.7272424697875977,0.8756347298622131,1.7122901678085327,2.1841957569122314,0.24191135168075562,0.36844968795776367,2.528181791305542,2.7466468811035156
2.7272393703460693,0.8756309151649475,1.712289571762085,2.184194564819336,0.2419133335351944,0.3684487044811249,2.528179883956909,2.7466423511505127
2.727236270904541,0.8756269216537476,1.7122889757156372,2.1841933727264404,0.24191531538963318,0.3684476912021637,2.5281777381896973,2.7466375827789307
2.7272329330444336,0.8756229281425476,1.7122883796691895,2.184191942214966,0.24191735684871674,0.3684467077255249,2.5281755924224854,2.7466325759887695
2.727229595184326,0.8756189346313477,1.7122876644134521,2.1841907501220703,0.24191948771476746,0.3684457242488861,2.5281736850738525,2.7466273307800293
2.7272260189056396,0.8756147027015686,1.7122867107391357,2.1841890811920166,0.24192161858081818,0.36844468116760254,2.5281713008880615,2.746622323989868
2.727222442626953,0.8756105899810791,1.7122859954833984,2.184187650680542,0.24192379415035248,0.36844363808631897,2.5281689167022705,2.746617078781128
2.7272188663482666,0.8756063580513,1.712285041809082,2.1841862201690674,0.24192599952220917,0.3684426248073578,2.5281667709350586,2.7466115951538086
2.72721529006958,0.8756020665168762,1.7122840881347656,2.1841845512390137,0.24192818999290466,0.3684416115283966,2.5281643867492676,2.7466061115264893
2.7272114753723145,0.8755978345870972,1.7122831344604492,2.18418288230896,0.24193045496940613,0.3684405982494354,2.5281617641448975,2.746600389480591
2.727207660675049,0.8755935430526733,1.7122821807861328,2.1841812133789062,0.2419326901435852,0.36843958497047424,2.5281593799591064,2.7465946674346924
2.727203845977783,0.8755893111228943,1.7122812271118164,2.1841797828674316,0.2419348657131195,0.36843860149383545,2.5281569957733154,2.746588945388794
