,sumr_list
362,-115.31293040484469
363,-469.47315868171967
364,-5.45733724056578
365,-8.868400486860162
366,-271.68873238359396
367,-98.44606697030139
368,-241.48606002261155
369,-4.786099407573623
370,-6.398416556746497
371,-19.58416777594356
372,-15.983645715106507
373,-277.38004274115923
374,-652.6556897670658
375,-411.70509797056496
376,-4.491412728064728
377,-17.425740472987748
378,-12.737761283472361
379,-77.22660428017187
380,-9.791902670656118
381,-339.2953105249049
382,-56.225279327926906
383,-505.81586355202114
384,-2.6822260561310616
385,-8.368902192776297
386,-3.977722379109414
387,-65.43364831182043
388,-1.8802169610135993
389,-17.320489416361323
390,-453.4015289352848
391,-257.3038376429223
392,-113.84900863111274
393,-272.72623387042563
394,-10.37126543312008
395,-10.59534650269011
396,-2.0176846843396663
397,-386.016445723429
398,-2.0392087005064905
399,-125.74734759806299
400,-18.502395445693622
401,-21.776193991935166
402,-396.26649698434954
403,-21.973298550214185
404,-276.97162105809525
405,-7.442664447303677
406,-223.12876207440343
407,-12.975612814531546
408,-437.9635972942368
409,-158.2959458606735
410,-305.3517014636057
411,-158.03399856654315
412,-3.5225564996900407
413,-11.577782808661887
414,-382.26876126022387
415,-14.040261152630615
416,-7.0835989318675034
417,-9.375477192876039
418,-28.068619790164718
419,-36.80754321637195
420,-7.852344615670882
421,-7.153468657059437
422,-9.284217128219401
423,-11.591858633601756
424,-126.31449180419567
425,-27.832118420293032
426,-117.78714612647316
427,-11.324163352012254
428,-33.06223337804376
429,-31.267010402045123
430,-152.01366680354508
431,-9.205874589135796
432,-12.962070063416926
433,-18.15690926168689
434,-4.243650260126354
435,-15.602053842513694
436,-4.656051487121961
437,-45.22655542155943
438,-152.88642427874572
439,-135.9527232824923
440,-2.3747200258509022
441,-20.945827980748312
442,-6.531533232243737
443,-217.24864811629806
444,-138.1889851636389
445,-5.691188217167468
446,-31.966032057487194
447,-49.37845153666003
448,-2.711159410382104
449,-41.12077529045363
450,-1.5794815034698018
451,-7.703903206017068
452,-15.245626104602735
453,-9.13631498491583
454,-6.729188315742903
455,-457.8471097217445
456,-8.678518169977396
457,-59.69059600920746
458,-4.615247545874532
459,-173.43935893086905
460,-4.971625568346947
461,-19.992076993587563
462,-6.29558442925279
463,-9.011251442952123
464,-13.769487699472208
465,-19.46346448775649
466,-21.910275987786676
467,-27.221538604322784
468,-6.450256139839217
469,-278.25955191925243
470,-13.060350320907274
471,-126.45561744440705
472,-9.41943520698392
473,-22.233428610134734
474,-37.11519091568821
475,-9.520304427689878
476,-447.92127200266606
477,-7.372406408673354
478,-4.357590823062633
479,-48.459692048663875
480,-3.3003456174475994
481,-8.871077110100641
482,-9.79325734588418
483,-13.926599278948522
484,-160.23425713633858
485,-7.024101777304924
486,-103.30201527540282
487,-13.817236127938623
488,-2.265989570966172
489,-168.57415540097665
490,-10.748718121354287
491,-19.00102471676634
492,-3.1553051360866413
493,-6.34340436979513
494,-6.514415732463377
495,-7.73669794077481
496,-7.059010943058779
497,-7.472310778481154
498,-299.6408867437703
499,-23.126630279688953
500,-3.422644745962487
501,-15.475604235230755
502,-75.05682503751447
503,-9.997225978453553
504,-2.290357355327988
505,-12.128821875960416
506,-3.894428037253423
507,-13.576734239431158
508,-12.990302112306006
509,-6.031631431207397
510,-2.5575449809921507
511,-283.2162104285185
512,-3.1426683698674114
513,-12.821916851945446
514,-337.3587600823746
515,-4.287413121142211
516,-6.421410135242047
517,-29.344603693285894
518,-6.515556600231105
519,-19.219658665075936
520,-28.759611489590178
521,-56.36355546353138
522,-3.1665237631804306
523,-21.30504635701019
524,-27.557681274654897
525,-17.340473745585935
526,-3.1095481873906596
527,-85.14072681588114
528,-17.910374426287255
529,-79.9976820166023
530,-14.302578196475947
531,-262.421901893873
532,-8.610663798242713
533,-27.277593909191495
534,-3.9262991229982487
535,-12.146374772327684
536,-3.9975268437526226
537,-21.80496449916998
538,-26.30337966588445
539,-87.70218840407244
540,-6.085806311115512
541,-18.59574955552661
542,-1.7022682093269619
543,-18.147645187084457
544,-11.664607501687923
545,-21.2982176784586
546,-39.285764212030855
547,-11.384013174644696
548,-3.230622956089144
549,-14.149843324002875
550,-416.1969421224987
551,-5.254461120329695
552,-291.97032173808634
553,-208.09477174694604
554,-3.453401168913822
555,-29.190505339076413
556,-3.268974758443211
557,-14.870747917132052
558,-122.39639615507554
559,-14.47156189756981
560,-3.940553828047789
561,-8.47714063648055
562,-6.109938759260879
563,-9.873774278902843
564,-3.793148584969855
565,-117.2754044431454
566,-2.2951736614416554
567,-14.589028472405678
568,-4.769120385423152
569,-127.64579777512377
570,-72.35442350957568
571,-14.526079557551771
572,-8.54635724653448
573,-11.951650315814804
574,-133.88349873966882
575,-9.42473698316278
576,-486.78289730856034
577,-452.31378844477973
578,-2.3033260915326843
579,-15.641301824600932
580,-6.0913899450543
581,-27.896843985398334
582,-19.877762735996576
583,-54.306605209168175
584,-2.9539649739411145
585,-24.481131159359812
586,-112.29674695235026
587,-10.858110829370466
588,-5.088163161842547
589,-7.65955467586288
590,-37.44812369214153
591,-389.1628552037651
592,-18.822964555535183
593,-7.282175638573938
594,-8.928687571543835
595,-18.84598436132133
596,-8.658192281882735
597,-25.16667973637121
598,-3.8400457351426693
599,-238.33998340943924
600,-7.661060397231987
601,-4.902580174492223
602,-5.736959802322959
603,-4.859048770150242
604,-2.834671677568954
605,-9.018126883718287
606,-10.595859383073043
607,-23.928162800026744
608,-19.55459174976746
609,-16.324999072504323
610,-2.438896377672721
611,-6.399947468821447
612,-7.291101856913067
613,-8.319134584508767
614,-31.043353880347812
615,-23.80642247990808
616,-5.506656038904648
617,-141.70436477452768
618,-3.2510064569438737
619,-201.4551189617265
620,-19.69928436162076
621,-21.636442498889753
622,-1.858282605258118
623,-5.0333580402238205
624,-108.49324115850379
625,-441.6560258029023
626,-5.314010530108033
627,-15.101586136192704
628,-3.497116608469669
629,-47.25398515564309
