time,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi
0.0,0.0,0.0,2.0,0.0,0.0,0.0
0.001,0.0,0.0,2.001570795680831,0.0006579734535675868,0.0006579734535675868,0.0019739203607027603
0.002,3.315538520926841e-14,-3.315538151920541e-14,2.00314158748588,0.0013159458681052793,0.0013159458681052793,0.003947837604315838
0.003,5.645668035569122e-13,-5.645666197389705e-13,2.0047123715393735,0.0019739162045848244,0.0019739162045848244,0.005921748613754474
0.004,3.2589247824000425e-12,-3.2589218624339397e-12,2.006283143965559,0.00263188342398125,0.00263188342398125,0.007895650271943751
0.005,1.1780339506657053e-11,-1.1780316718453537e-11,2.0078539008887115,0.0032898464872745067,0.0032898464872745067,0.00986953946182352
0.006,3.2583579760148174e-11,-3.258346292418027e-11,2.009424638433144,0.003947804355451107,0.003947804355451107,0.011843413066353323
0.007,7.569581525228637e-11,-7.569536121182285e-11,2.010995352723218,0.00460575598950577,0.00460575598950577,0.013817267968517313
0.008,1.5548890079021413e-10,-1.554874517017548e-10,2.0125660398833527,0.005263700350443057,0.005263700350443057,0.015791101051329172
0.009000000000000001,2.914422721242609e-10,-2.9143828065231873e-10,2.0141366960380327,0.0059216363992790145,0.0059216363992790145,0.017764909197837044
0.010000000000000002,5.08896402224278e-10,-5.088865958488265e-10,2.0157073173118207,0.006579563097042816,0.006579563097042816,0.019738689291128448
0.011000000000000003,8.397968265202514e-10,-8.397748375690023e-10,2.017277899829365,0.0072374794047784016,0.0072374794047784016,0.021712438214335206
0.012000000000000004,1.323428772485057e-09,-1.323383014135372e-09,2.0188484397154083,0.007895384283546115,0.007895384283546115,0.02368615285063835
0.013000000000000005,2.007142420979131e-09,-2.007052938674521e-09,2.0204189330948004,0.008553276694424355,0.008553276694424355,0.025659830083273067
0.014000000000000005,2.9470688317375886e-09,-2.946902804558161e-09,2.021989376092505,0.009211155598511205,0.009211155598511205,0.027633466795533617
0.015000000000000006,4.208826569959892e-09,-4.208532077790502e-09,2.0235597648336103,0.009869019956926073,0.009869019956926073,0.02960705987077822
0.016000000000000007,5.86821907530333e-09,-5.867716685462411e-09,2.0251300954433376,0.010526868730811345,0.010526868730811345,0.03158060619243404
0.017000000000000008,8.011922818690293e-09,-8.011094480310416e-09,2.0267003640470524,0.01118470088133401,0.01118470088133401,0.033554102644002035
0.01800000000000001,1.0738166296222675e-08,-1.0736840962394484e-08,2.0282705667702734,0.011842515369687315,0.011842515369687315,0.03552754610906195
0.01900000000000001,1.415739991316166e-08,-1.4155335239939093e-08,2.029840699738681,0.012500311157092388,0.012500311157092388,0.03750093347127716
0.02000000000000001,1.839295681438443e-08,-1.8389816212464406e-08,2.0314107590781285,0.013158087204799898,0.013158087204799898,0.039474261614399694
0.02100000000000001,2.3581704720977624e-08,-2.3577028960464816e-08,2.0329807409146503,0.013815842474091683,0.013815842474091683,0.04144752742227505
0.022000000000000013,2.987468883567723e-08,-2.9867861327067815e-08,2.0345506413744725,0.014473575926282385,0.014473575926282385,0.04342072777884715
0.023000000000000013,3.7437765882722305e-08,-3.742797067832396e-08,2.0361204565840216,0.015131286522721112,0.015131286522721112,0.04539385956816334
0.024000000000000014,4.645222935036185e-08,-4.643840083003547e-08,2.0376901826699347,0.01578897322479305,0.01578897322479305,0.04736691967437916
0.025000000000000015,5.711542600674631e-08,-5.709618913032394e-08,2.0392598157590687,0.01644663499392113,0.01644663499392113,0.0493399049817634
0.026000000000000016,6.964136376225357e-08,-6.961496368846415e-08,2.04082935197851,0.017104270791567653,0.017104270791567653,0.05131281237470297
0.027000000000000017,8.426131095344999e-08,-8.422553074186737e-08,2.0423987874555842,0.01776187957923592,0.01776187957923592,0.05328563873770777
0.028000000000000018,1.0122438712587513e-07,-1.0117645215448248e-07,2.043968118317865,0.018419460318471904,0.018419460318471904,0.055258380955415715
0.02900000000000002,1.207981453946708e-07,-1.207346130412931e-07,2.0455373406931847,0.01907701197086585,0.01907701197086585,0.05723103591259756
0.03000000000000002,1.4326914646375576e-07,-1.4318577951502088e-07,2.047106450709643,0.019734533498053958,0.019734533498053958,0.05920360049416188
0.03100000000000002,1.68943524385782e-07,-1.6883514655259878e-07,2.0486754444956166,0.020392023861719975,0.020392023861719975,0.06117607158515993
0.03200000000000002,1.981475441465036e-07,-1.9800787598044768e-07,2.0502443181797694,0.02104948202359688,0.02104948202359688,0.06314844607079065
0.03300000000000002,2.3122815115844728e-07,-2.3104962457907644e-07,2.051813067891062,0.02170690694546849,0.02170690694546849,0.06512072083640548
0.03400000000000002,2.6855351274990314e-07,-2.683270623090247e-07,2.0533816897587607,0.02236429758917112,0.02236429758917112,0.06709289276751336
0.035000000000000024,3.1051355173625666e-07,-3.102283806616781e-07,2.0549501799124457,0.023021652916595213,0.023021652916595213,0.06906495874978565
0.036000000000000025,3.575204721615652e-07,-3.57163791140006e-07,2.0565185344820245,0.023678971889686977,0.023678971889686977,0.07103691566906094
0.037000000000000026,4.1000927729904856e-07,-4.095660138757968e-07,2.058086749597738,0.024336253470450032,0.024336253470450032,0.0730087604113501
0.03800000000000003,4.6843827999981766e-07,-4.678907563914998e-07,2.0596548213901706,0.024993496620947048,0.024993496620947048,0.07498048986284116
0.03900000000000003,5.332896054797122e-07,-5.326171825163174e-07,2.061222745990262,0.025650700303301383,0.025650700303301383,0.07695210090990415
0.04000000000000003,6.05069686634567e-07,-6.042483714677215e-07,2.0627905195293135,0.026307863479698705,0.026307863479698705,0.07892359043909612
