time,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi,ref_dot_phi,ref_dot_theta,ref_dot_psi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0471975511965976,0.0,0.0,8.057852959096474e-17,1.315947253478581,1.9739208802178716
0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.046866834987428,0.026316174409599786,0.03947426161439968,-0.03306988007831446,1.315531663233321,1.9732974948499815
0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0458748952473642,0.05261572695939737,0.07892359043909607,-0.06611887251157157,1.3142851549932455,1.9714277324898684
0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0442223585068073,0.07888204628831348,0.11832306943247023,-0.09912610284779814,1.312208516079677,1.9683127741195157
0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0419102685433819,0.10509854202608344,0.15764781303912517,-0.13207072301285663,1.3093030581422627,1.963954587213394
0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.038940085722665,0.13124865527209065,0.19687298290813596,-0.16493192447853555,1.3055706163305096,1.9583559244957645
0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0353136860757872,0.15731586905432304,0.23597380358148456,-0.19768895140566192,1.301013548134665,1.9515203222019974
0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0310333601144916,0.18328371876184682,0.27492557814277024,-0.2303211137539341,1.2956347318966748,1.9434520978450123
0.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0261018113843974,0.2091358025442073,0.31370370381631096,-0.2628078003501947,1.289437564992161,1.9341563474882415
0.18,0.0,0.0,0.0,0.0,0.0,0.0,1.020522154757382,0.23485579167118953,0.3522836875067843,-0.29512849190688945,1.2824259616845668,1.9236389425268503
0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0142979144641622,0.26042744084639413,0.3906411612695912,-0.3272627739824887,1.2746043506528242,1.9119065259792365
0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.007433021868314,0.2858345984681146,0.4287518977021719,-0.3591903498756867,1.2659776721941043,1.8989665082911564
0.23999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.9999318129831387,0.3110612168310354,0.46659182524655307,-0.39089105344523284,1.2565513751034205,1.884827062655131
0.25999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.9917990257329448,0.3360913622623061,0.5041370433934592,-0.4223448618472985,1.2463314132320533,1.8694971198480799
0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.9830397969604725,0.3609092251855914,0.5413638377783871,-0.4535319081823351,1.2353242417269688,1.8529863625904532
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9736596591823549,0.38549913010673764,0.5782486951601066,-0.48443249404343325,1.2235368129536108,1.8353052194304162
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.9636645370946606,0.40984554551475144,0.6147683182721272,-0.5150271019582577,1.2109765721046375,1.8164648581569565
0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.9530607438307299,0.4339330936918346,0.6508996405377518,-0.5452964077167035,1.1976514524973776,1.7964771787460667
0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.9418549769736634,0.45774656042628037,0.6866198406394206,-0.5752212925764797,1.183569870562978,1.775354805844467
0.38000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.9300543143259862,0.48127090462209576,0.7219063569331436,-0.604782855338916,1.1687407205304041,1.753111080795606
0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.9176662094391544,0.50449126779928,0.75673690169892,-0.6339624242873673,1.1531733688086558,1.7297600532129838
0.4200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.9046984869057338,0.5273929834787592,0.7910894752181388,-0.6627415689806688,1.1368776480707419,1.705316472106113
0.4400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.8911593374172189,0.5499615864460482,0.8249423796690724,-0.6911021118941972,1.119863851043153,1.6797957765647293
0.46000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.8770573125906168,0.5721828218877913,0.858274232831687,-0.7190261399011846,1.1021427240047552,1.6532140860071332
0.48000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.8624013195670622,0.5940426543954068,0.8910639815931104,-0.7464960155870362,1.0837254599992105,1.6255881899988158
0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.8472006153858767,0.6155272768301522,0.9232909152452283,-0.7734943883894946,1.0646236917652088,1.5969355376478132
0.5200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.8314648011376236,0.6366231190440095,0.9549346785660143,-0.8000042055576321,1.0448494843889826,1.567274226583474
0.5400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.8152038158998541,0.6573168564508804,0.9859752846763208,-0.8260087229227293,1.0244153276837393,1.536622991525609
0.5600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.7984279304593731,0.677595418442682,1.016393127664023,-0.8514915154742525,1.0033341283008277,1.5050011924512414
0.5800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.7811477408249888,0.6974459966450215,1.0461689949675324,-0.876436487734244,0.9816192015776194,1.4724288023664291
0.6000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.7633741615348472,0.7168560530072409,1.0752840795108614,-0.9008278839235692,0.9592842631272573,1.4389263946908861
