r,att_out,pos_out
-4.223974492550051,0,0
-4.1846343520705185,0,0
-4.169394258474798,0,0
-4.14948322571968,0,0
-4.180806173567287,0,0
-4.121212860097549,0,0
-4.134753997244875,0,0
-4.157518903700158,0,0
-4.188314346794721,0,0
-4.237885100876226,0,0
-4.176191400948376,0,0
-4.158309764692334,0,0
-4.090192863809907,0,0
-4.059208450140089,0,0
-4.0298940608328095,0,0
-4.033746908345978,0,0
-4.023902951348732,0,0
-4.029078486133342,0,0
-4.004070549516392,0,0
-4.000127473164066,0,0
-3.990054453917878,0,0
-3.9853371332803627,0,0
-3.989905416079291,0,0
-3.971261565844405,0,0
-3.9843027239774433,0,0
-3.9632987147289893,0,0
-3.9609096450615353,0,0
-3.968358960194009,0,0
-3.9880015841016245,0,0
-3.991778499229837,0,0
-4.034141659708259,0,0
-4.000258637873753,0,0
-3.9949508925221684,0,0
-4.012465985048587,0,0
-3.998189440720648,0,0
-3.994871428722659,0,0
-4.001460509364774,0,0
-3.9833138410445144,0,0
-3.9700229696935674,0,0
-3.9754225089885113,0,0
-3.9420413371306693,0,0
-3.929866355558705,0,0
-3.9264954627042483,0,0
-3.920177334500285,0,0
-3.9117323200391474,0,0
-3.8929833567729584,0,0
-3.8969137713494684,0,0
-3.879364293411986,0,0
-3.8828567571013513,0,0
-3.874695179248523,0,0
-3.8696211981211937,0,0
-3.910795308082598,0,0
-3.918286771822019,0,0
-3.9331616132823983,0,0
-3.908446238865159,0,0
-3.9331182878661632,0,0
-3.9266247611769813,0,0
-3.9141968255083213,0,0
-3.947637448562151,0,0
-3.903266436321172,0,0
-3.8890345114333122,0,0
-3.9345471795223323,0,0
-3.9455611505376753,0,0
-3.881048923045178,0,0
-3.9144072827018976,0,0
-3.8674829060751037,0,0
-3.865867663028368,0,0
-3.8987967266245294,0,0
-3.836408170582251,0,0
-3.8524521278016786,0,0
-3.880405094716832,0,0
-3.8469762514538095,0,0
-3.7972516884402405,0,0
-3.8236764539748656,0,0
-3.7886346334609335,0,0
-3.791241171696134,0,0
-3.7955943231338933,0,0
-3.785155897058662,0,0
-3.790528544436833,0,0
-3.793457803503882,0,0
-3.7803796668952887,0,0
-3.771608520345331,0,0
-3.7891197799103606,0,0
-3.7698028299858315,0,0
-3.7745669079741733,0,0
-3.770812393012668,0,0
-3.765622940844331,0,0
-3.8265484292058574,0,0
-3.7939313109579524,0,0
-3.7692164480912145,0,0
-3.7516661580676542,0,0
-3.7448555867469295,0,0
-3.7442157912245,0,0
-3.7422790468980076,0,0
-3.7407312972837548,0,0
-3.739184760361518,0,0
-3.737868831434021,0,0
-3.7520308096263575,0,0
-3.7452860477935155,0,0
-3.763165762986585,0,0
-3.724541852382779,0,0
-3.725955911885587,0,0
-3.914292892492611,0,0
-3.940782258969296,0,0
-3.9320330086948254,0,0
-3.985683590286498,0,0
-3.931051237003078,0,0
-3.930666548800159,0,0
-3.9264508733863535,0,0
-3.946374038413456,0,0
-3.899053061242064,0,0
-3.898963300343364,0,0
-3.881622404823688,0,0
-3.88005840121507,0,0
-3.8585974708001016,0,0
-3.8827058487697372,0,0
-3.890327064193927,0,0
-3.856546004017979,0,0
-3.812884871293613,0,0
-3.797121074548652,0,0
-3.793347707455971,0,0
-3.7922583926902345,0,0
-3.7941950529431216,0,0
-3.7990783549088185,0,0
-3.775207830997893,0,0
-3.7625557840287747,0,0
-3.7515935225594017,0,0
-3.7279284678399467,0,0
-3.777637203176308,0,0
-3.7318796822417415,0,0
-3.7089985247822517,0,0
-3.7540826335684567,0,0
-3.7523851653710114,0,0
-3.7047989909202985,0,0
-3.704164699774737,0,0
-3.7109516279074577,0,0
-3.716298719057738,0,0
-3.691535120930154,0,0
-3.7308248512387117,0,0
-3.732744905914936,0,0
-3.7371148050844027,0,0
-3.7257853478159126,0,0
-3.72768873294895,0,0
-3.726237352897217,0,0
-3.7238846969521706,0,0
-3.7230723595808177,0,0
-3.7167948117735397,0,0
-3.7114634765021286,0,0
-3.7650693052477937,0,0
-3.721326486186025,0,0
-3.684736830474002,0,0
-3.673800636570007,0,0
-3.6550120913730697,0,0
-4.01209227937618,0,0
-4.03365249237624,0,0
-4.0364557461505415,0,0
-4.023112661635556,0,0
-4.03035995922201,0,0
-4.028640839688593,0,0
-4.022354145699335,0,0
-4.03476721683215,0,0
-4.04647520429317,0,0
-3.9896809605688284,0,0
-3.9714808296763424,0,0
-3.939395092316043,0,0
-3.919640198428522,0,0
-3.902530061500071,0,0
-3.926980151083692,0,0
-3.8844510606384604,0,0
-3.8566009072542005,0,0
-3.852550261707091,0,0
-3.8209908286835557,0,0
-3.813435184760104,0,0
-3.806990549323135,0,0
-3.781140886174045,0,0
-3.7818676514191805,0,0
-3.768338057782801,0,0
-3.7531935222485453,0,0
-3.737958107837597,0,0
-3.7327414259809504,0,0
-3.7396779662033817,0,0
-3.7542693761639083,0,0
-3.7650876116650847,0,0
-3.7436798313822925,0,0
-3.720084244297989,0,0
-3.69115206079423,0,0
-3.710700080504755,0,0
-3.7434319302865364,0,0
-3.7211416159749087,0,0
-3.6982457160460536,0,0
-3.735173015556618,0,0
-3.669488951639084,0,0
-3.6725939369468734,0,0
-3.6858975671919905,0,0
-3.6729369992818057,0,0
-3.682221183495709,0,0
-3.6746276661769173,0,0
-3.673712211894846,0,0
-3.674743524620538,0,0
-3.6768139986570425,0,0
-3.6682789231059387,0,0
-3.6844094079458687,0,0
-3.693989553305968,0,0
-3.747881519406413,0,0
-4.169253479495913,0,0
-4.182544381421539,0,0
-4.188975981161779,0,0
-4.220659712724158,0,0
