r,att_out,pos_out
-2.8487272506745622,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-2.8579230327587615,0,0
-3.0121221370583897,0,0
-3.0026013953197914,0,0
-2.992312998267852,0,0
-2.9820675274213637,0,0
-2.9720239678082043,0,0
-2.9623483210174433,0,0
-2.953090880318729,0,0
-2.944480531311039,0,0
-2.936640781845725,0,0
-2.929410186082433,0,0
-2.9229159581726867,0,0
-2.9170461874348237,0,0
-2.9118929326412677,0,0
-2.9075107652896075,0,0
-2.9036171302010887,0,0
-2.9001607571543797,0,0
-2.8971797572876694,0,0
-2.894722740490859,0,0
-2.892601982149235,0,0
-2.8907896043820576,0,0
-2.8892685562623126,0,0
-2.88797037970165,0,0
-2.8868672912167614,0,0
-2.886000269846388,0,0
-2.885252618742091,0,0
-2.884636334776267,0,0
-2.884154521463467,0,0
-2.883781505825594,0,0
-2.8834515846083333,0,0
-2.883173862513707,0,0
-2.882970811540474,0,0
-2.8828053708188492,0,0
-2.8826934760471237,0,0
-2.8826326063478436,0,0
-2.8825779962741893,0,0
-2.882517055284431,0,0
-2.882452006470061,0,0
-2.8823822920139115,0,0
-2.8823065357166335,0,0
-2.8822227501505284,0,0
-2.8821271121872813,0,0
-2.88202311633248,0,0
-2.8819105339513835,0,0
-2.881785473512624,0,0
-2.8816523470848425,0,0
-2.88151286058902,0,0
-2.881368066613206,0,0
-2.8811852391494046,0,0
-2.880987667862687,0,0
-2.8808040154340127,0,0
-2.880542155968413,0,0
-3.208241841563819,0,0
-3.18754503095489,0,0
-3.1661546917432664,0,0
-3.1443964069560315,0,0
-3.123065136526753,0,0
-3.102477508161,0,0
-3.0829826212462956,0,0
-3.0649776762818757,0,0
-3.0483129494517414,0,0
-3.033179928834266,0,0
-3.0192512329986614,0,0
-3.007041447313424,0,0
-2.996144440641261,0,0
-2.986585856111858,0,0
-2.9782183753589244,0,0
-2.9708661380478474,0,0
-2.964422006830818,0,0
-2.9589382467206526,0,0
-2.9542513963485555,0,0
-2.9501398812929565,0,0
-2.9467372505804255,0,0
-2.943960032199614,0,0
-2.9415532579659147,0,0
-2.9394806089435033,0,0
-2.937721399112998,0,0
-2.9361866990921217,0,0
-2.9348761904250704,0,0
-2.933795302840594,0,0
-2.9329334602898314,0,0
-2.932267481535037,0,0
-2.931772209795745,0,0
-2.931315896819036,0,0
-2.930842634460956,0,0
-2.930405453319599,0,0
-2.9300176557109645,0,0
-2.929644836937411,0,0
-2.9293351082951045,0,0
-2.92882922167714,0,0
-2.9284413377337155,0,0
-2.928099480759357,0,0
-2.9277675012770725,0,0
-2.9274451781345223,0,0
-2.9271182013894186,0,0
-2.926827971749341,0,0
-2.926506456320051,0,0
-2.9261474467362882,0,0
-2.925777346841425,0,0
-2.9253650649676173,0,0
-2.9249370473417056,0,0
-2.9244854703796426,0,0
-2.9240032036740047,0,0
-3.446317361497075,0,0
-3.4130629419158085,0,0
-3.379118412265253,0,0
-3.344562841532247,0,0
-3.310964685591201,0,0
-3.2786181432085066,0,0
-3.2477726882625673,0,0
-3.2193447129736077,0,0
-3.1932367880359234,0,0
-3.1693141818534047,0,0
-3.1475632967349942,0,0
-3.1282218117774865,0,0
-3.1113317108924505,0,0
-3.096057681819655,0,0
-3.082731297251509,0,0
-3.071055846257869,0,0
-3.060894593383131,0,0
-3.0520895786781064,0,0
-3.044469159261761,0,0
-3.037980782763339,0,0
-3.032136188490931,0,0
-3.027335709226701,0,0
-3.023191776123016,0,0
-3.019760675076339,0,0
-3.0167865140858754,0,0
-3.014115017176915,0,0
-3.011811190333483,0,0
-3.009905666623164,0,0
-3.0082630582661234,0,0
-3.0069938855595426,0,0
-3.0057695571406082,0,0
-3.0045838145614234,0,0
-3.003565375393107,0,0
-3.002605345551028,0,0
-3.001736149339604,0,0
-3.001006607169815,0,0
-3.0003108878271205,0,0
-2.999607747619014,0,0
-2.99882846349087,0,0
-2.998087367467016,0,0
-2.9973193806652887,0,0
-2.9964690991136527,0,0
-2.995693803310747,0,0
-2.9949799368067955,0,0
-2.99426766690914,0,0
-2.993579129968449,0,0
-2.9928574917046693,0,0
-2.99209581323374,0,0
-2.9913298169152496,0,0
-2.9904925008929637,0,0
-2.98961442402091,0,0
-3.7207115354108273,0,0
-3.6745490259192968,0,0
-3.626407064006672,0,0
-3.5789410918949685,0,0
-3.531768577788209,0,0
-3.486511284158541,0,0
-3.4433941086183006,0,0
-3.4036712155132567,0,0
-3.3672205646923277,0,0
-3.333811609882844,0,0
-3.3035577864136734,0,0
-3.276583407203193,0,0
-3.252699811975166,0,0
-3.2315548588780745,0,0
-3.2127178690046807,0,0
-3.196286837869244,0,0
