r,att_out,pos_out
-3.763662658970333,0,0
-3.6820816639113163,0,0
-3.6064581176523762,0,0
-3.516578020977065,0,0
-3.445838202465306,0,0
-3.3680987436221352,0,0
-3.288364275390388,0,0
-3.214471219066735,0,0
-3.1511695417509475,0,0
-3.089795175667946,0,0
-3.0371618286264153,0,0
-2.992107106930815,0,0
-2.947991004388847,0,0
-2.912429373873632,0,0
-2.8799694598768952,0,0
-2.849151093466643,0,0
-2.8265032083102852,0,0
-2.8046861152855307,0,0
-2.7860688638686613,0,0
-2.7701319786690166,0,0
-2.7550590134349044,0,0
-2.7428162846516035,0,0
-2.7324152004994877,0,0
-2.724041494403116,0,0
-2.717165323224338,0,0
-2.71082688381188,0,0
-2.7049908980003097,0,0
-2.700737366816317,0,0
-2.697072348330313,0,0
-2.6940709801894385,0,0
-2.6914537454524097,0,0
-2.6888941028634235,0,0
-2.681582339564733,0,0
-2.685538160713189,0,0
-2.68504902169489,0,0
-2.6834255377892116,0,0
-2.6774902497405346,0,0
-2.68036677507181,0,0
-2.674849225744913,0,0
-2.6791368750432465,0,0
-2.678199435793343,0,0
-2.6761820338955427,0,0
-2.6758342241042965,0,0
-2.6746722636075537,0,0
-2.6692731818501745,0,0
-2.6740126638444854,0,0
-2.672792245595689,0,0
-2.6717673095419254,0,0
-2.6695105423204417,0,0
-2.668548509346389,0,0
-2.667364920932672,0,0
-4.124375822391291,0,0
-4.031377882789374,0,0
-3.9090854951307064,0,0
-3.8273463388715983,0,0
-3.736644115551911,0,0
-3.6612547430588895,0,0
-3.566693764959966,0,0
-3.4769481775017788,0,0
-3.400323425521517,0,0
-3.32753958991165,0,0
-3.267685248131024,0,0
-3.2104806727610704,0,0
-3.1629953202145895,0,0
-3.1187936974185857,0,0
-3.0812123986095687,0,0
-3.0465762164278085,0,0
-3.0181236902739417,0,0
-2.9924383282531575,0,0
-2.9706930910039744,0,0
-2.9508404245957984,0,0
-2.9333477550984997,0,0
-2.9202107916583806,0,0
-2.9079891732962397,0,0
-2.897131452765954,0,0
-2.8888395501911077,0,0
-2.8811790240433335,0,0
-2.874603280598428,0,0
-2.869761789864932,0,0
-2.8664524921507497,0,0
-2.8629184758074873,0,0
-2.8596370087644867,0,0
-2.856282939688447,0,0
-2.854213796610395,0,0
-2.851373070589167,0,0
-2.8505543026029687,0,0
-2.8492780752619224,0,0
-2.8475561671729337,0,0
-2.8458875402741266,0,0
-2.844574986726842,0,0
-2.8435161670948923,0,0
-2.8417234548238035,0,0
-2.8409929475825004,0,0
-2.839549328998411,0,0
-2.83862807251524,0,0
-2.8377824941086973,0,0
-2.836426903494762,0,0
-2.835112276984804,0,0
-2.8340111369298735,0,0
-2.830840139620611,0,0
-2.8316245304107346,0,0
-2.8299312662881677,0,0
-4.5035558644060645,0,0
-4.40986425058115,0,0
-4.285096068597029,0,0
-4.164364181714065,0,0
-4.057119802179697,0,0
-3.9518279772661806,0,0
-3.8451973180608516,0,0
-3.758620864711145,0,0
-3.6801208128054372,0,0
-3.5925337501133057,0,0
-3.5235132798331184,0,0
-3.457493372669219,0,0
-3.402922392195697,0,0
-3.3512390886648977,0,0
-3.308180285839979,0,0
-3.2680671435689748,0,0
-3.2352436255684145,0,0
-3.204205276255201,0,0
-3.178611904891622,0,0
-3.156785960297065,0,0
-3.1366432377356057,0,0
-3.120842837182913,0,0
-3.1069091187580153,0,0
-3.0944099283060003,0,0
-3.0829086619171036,0,0
-3.075446055559528,0,0
-3.0685498299095815,0,0
-3.0623925863905477,0,0
-3.0568319171094256,0,0
-3.052799575197995,0,0
-3.0496583470337173,0,0
-3.046325210122095,0,0
-3.0431237200510344,0,0
-3.041578217483295,0,0
-3.0398087205852624,0,0
-3.0370834272894616,0,0
-3.035611158428515,0,0
-3.033177418098885,0,0
-3.0313083937671563,0,0
-3.030461466326205,0,0
-3.0292114271593813,0,0
-3.027843684633777,0,0
-3.0261041997025537,0,0
-3.0248444357727484,0,0
-3.023099871722747,0,0
-3.0217682392816254,0,0
-3.0210535122097015,0,0
-3.019706775243721,0,0
-3.0181997853331826,0,0
-3.017216384743343,0,0
-3.016270618557576,0,0
-4.928029416914093,0,0
-4.804383423049686,0,0
-4.678687340288529,0,0
-4.543433281424677,0,0
-4.423745680740065,0,0
-4.329353863155036,0,0
-4.198475425338363,0,0
-4.081539787875878,0,0
-3.9789149510100277,0,0
-3.886623452091421,0,0
-3.8064914368083267,0,0
-3.7333873390090524,0,0
-3.6683500095081922,0,0
-3.6129073288426556,0,0
-3.5609808064469717,0,0
-3.516963750497495,0,0
-3.4785538419025914,0,0
-3.441540906199794,0,0
-3.41432297888428,0,0
-3.3890521952715424,0,0
-3.366277560704071,0,0
-3.347881761379764,0,0
-3.3317161202072527,0,0
-3.3167845903825377,0,0
-3.3046857233825824,0,0
-3.2943802227572463,0,0
-3.285686390114751,0,0
-3.2782749926930586,0,0
-3.273082352470384,0,0
-3.267897069342812,0,0
-3.263771107265772,0,0
-3.2598776753033833,0,0
-3.2574213570412542,0,0
-3.253801152868618,0,0
-3.251807872272914,0,0
-3.249550617759599,0,0
-3.247286586525235,0,0
-3.2451616292783227,0,0
-3.2426902466286145,0,0
-3.2410345352740264,0,0
-3.2396690486315403,0,0
-3.2382175113307183,0,0
-3.2364806261538814,0,0
-3.2347187142762697,0,0
-3.233175934122022,0,0
-3.231539525720458,0,0
-3.231138461101214,0,0
-3.229235046580719,0,0
-3.227553805376347,0,0
-3.2267791157651993,0,0
-3.226093791762251,0,0
-5.389843955049497,0,0
-5.246111518237941,0,0
-5.093120346004711,0,0
-4.970618051434302,0,0
-4.852450382545298,0,0
-4.703549459102826,0,0
-4.561064466106033,0,0
-4.433108054161011,0,0
-4.2994586620033255,0,0
-4.199592875957702,0,0
-4.1160818111856825,0,0
-4.036505871720995,0,0
-3.962233776822489,0,0
-3.899602497553826,0,0
-3.844853174597788,0,0
-3.793147358146845,0,0
-3.7457772224962724,0,0
-3.7088049360384714,0,0
-3.676071828224609,0,0
-3.646093122191083,0,0
-3.6209821840667997,0,0
-3.599945299934213,0,0
-3.5808362663929136,0,0
-3.5644668940693247,0,0
-3.5507728535097924,0,0
-3.539622814740779,0,0
-3.5299620650463446,0,0
-3.521501124733141,0,0
-3.51463641048034,0,0
-3.5085000076267567,0,0
-3.504099339975563,0,0
-3.5002536987075077,0,0
-3.496283746752589,0,0
-3.493177506146353,0,0
-3.490309867677467,0,0
-3.4874920073225457,0,0
-3.4848025896600006,0,0
-3.4825040167368524,0,0
-3.48018868157087,0,0
-3.478613602959989,0,0
-3.4770855013626356,0,0
-3.4750885041563233,0,0
-3.4734549207356666,0,0
-3.471096102097487,0,0
-3.469581145371659,0,0
-3.468263982361459,0,0
-3.4667007678683337,0,0
-3.4659509650579103,0,0
-3.4637067745112318,0,0
-3.4627709729001697,0,0
-3.462061416532892,0,0
-5.882884007667021,0,0
-5.745700518231494,0,0
-5.551973540722997,0,0
-5.405490036034126,0,0
-5.280318915705999,0,0
