k11,k12,k13,k21,k22,k23,gamma,lambda
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1562618017196655,1.604457974433899,1.611194133758545,1.1531579494476318,0.9067242741584778,1.2568998336791992,1.012064814567566,1.540635585784912
0.850796103477478,1.2274259328842163,1.2912265062332153,0.9558773040771484,0.6130980849266052,1.0032826662063599,0.7688692212104797,1.1962332725524902
0.8906224370002747,1.2773085832595825,1.3377052545547485,0.985449492931366,0.6377400755882263,1.0330469608306885,0.8049355149269104,1.2463444471359253
0.9178807735443115,1.310856580734253,1.3683619499206543,1.0036669969558716,0.6549229621887207,1.0521209239959717,0.8297778367996216,1.2801135778427124
0.9435181021690369,1.3418349027633667,1.3959101438522339,1.0191553831100464,0.6709909439086914,1.068512201309204,0.8531867265701294,1.3114560842514038
0.9655054807662964,1.367822527885437,1.4180659055709839,1.0310423374176025,0.6847061514854431,1.0810438394546509,0.8731141090393066,1.3380435705184937
0.9836908578872681,1.388850450515747,1.434726357460022,1.0399671792984009,0.6961171627044678,1.0901386737823486,0.8890547156333923,1.359887957572937
0.9991583824157715,1.4067716598510742,1.4472897052764893,1.0477417707443237,0.7063101530075073,1.097486138343811,0.9015517234802246,1.3785457611083984
1.0146719217300415,1.4257550239562988,1.4590922594070435,1.057382583618164,0.7176845073699951,1.1061532497406006,0.9126995801925659,1.3976573944091797
1.0313440561294556,1.447312355041504,1.4716005325317383,1.069913625717163,0.7311379313468933,1.1173042058944702,0.9234812259674072,1.4185394048690796
1.0467150211334229,1.4671244621276855,1.4820289611816406,1.0820531845092773,0.7442066669464111,1.1278694868087769,0.9322530031204224,1.4375102519989014
1.0569318532943726,1.4788252115249634,1.4861081838607788,1.0891340970993042,0.753234326839447,1.1333996057510376,0.9363759756088257,1.4491022825241089
1.0615012645721436,1.4815787076950073,1.4836125373840332,1.0903198719024658,0.7576555609703064,1.1332451105117798,0.9358593225479126,1.4526675939559937
1.0622713565826416,1.4785254001617432,1.4772696495056152,1.0876479148864746,0.7591031193733215,1.1296112537384033,0.9325805902481079,1.4509824514389038
1.0613776445388794,1.4732586145401,1.469963550567627,1.0834550857543945,0.7594103217124939,1.1249191761016846,0.928534746170044,1.4472092390060425
1.0602521896362305,1.4682090282440186,1.4636435508728027,1.0793451070785522,0.7597912549972534,1.1208335161209106,0.9250580072402954,1.4435030221939087
1.0596085786819458,1.4645130634307861,1.4591089487075806,1.076019287109375,0.7607817053794861,1.11803138256073,0.9227343797683716,1.4408996105194092
1.059848666191101,1.4627554416656494,1.4567761421203613,1.0738639831542969,0.7626911997795105,1.1168906688690186,0.9218482971191406,1.4399652481079102
1.0610426664352417,1.4629240036010742,1.4565081596374512,1.0728541612625122,0.7655168771743774,1.1173043251037598,0.9223248362541199,1.440726399421692
1.063249111175537,1.4650079011917114,1.4582470655441284,1.0730124711990356,0.7692963480949402,1.1192518472671509,0.9241077899932861,1.4432051181793213
1.0663195848464966,1.4686620235443115,1.4615998268127441,1.0741230249404907,0.7738574147224426,1.1224125623703003,0.9269354343414307,1.4470986127853394
1.0701849460601807,1.4737091064453125,1.4663841724395752,1.0761115550994873,0.7791414856910706,1.1266613006591797,0.9306647181510925,1.4522466659545898
1.0746253728866577,1.4797413349151611,1.4721711874008179,1.0787277221679688,0.7849256992340088,1.1316494941711426,0.9350107312202454,1.4582624435424805
1.0795444250106812,1.4865758419036865,1.4787870645523071,1.0818895101547241,0.7911368012428284,1.1372593641281128,0.9398410320281982,1.4649627208709717
1.0847359895706177,1.4938597679138184,1.485866665840149,1.0853757858276367,0.7975712418556213,1.1431976556777954,0.9449195265769958,1.4720035791397095
1.09012770652771,1.5014688968658447,1.493297815322876,1.0891313552856445,0.80418461561203,1.149397611618042,0.9501620531082153,1.4792532920837402
1.0955604314804077,1.5091407299041748,1.5008080005645752,1.0929832458496094,0.8108203411102295,1.1556426286697388,0.9554001688957214,1.4864572286605835
1.1009939908981323,1.5168119668960571,1.5083446502685547,1.0969035625457764,0.8174683451652527,1.161914587020874,0.9605950117111206,1.4935449361801147
1.1063135862350464,1.5242984294891357,1.515712022781372,1.1007612943649292,0.8240121006965637,1.1680576801300049,0.9656326770782471,1.50034499168396
1.1115015745162964,1.53157639503479,1.5228960514068604,1.1045464277267456,0.8304625153541565,1.1740825176239014,0.9705027937889099,1.506830096244812
1.1164754629135132,1.5385175943374634,1.52975594997406,1.1081593036651611,0.8367272019386292,1.1798733472824097,0.9751276969909668,1.5128916501998901
1.1212300062179565,1.5451198816299438,1.5362975597381592,1.1116018295288086,0.842824399471283,1.1854528188705444,0.9795105457305908,1.5185283422470093
1.1257069110870361,1.551295518875122,1.5424200296401978,1.1148009300231934,0.8486751914024353,1.1907306909561157,0.9835987091064453,1.5236787796020508
1.1299070119857788,1.5570533275604248,1.5481406450271606,1.117767333984375,0.8542978167533875,1.1957329511642456,0.9874012470245361,1.5283560752868652
1.133792519569397,1.5623385906219482,1.5533918142318726,1.1204514503479004,0.8596225380897522,1.2003892660140991,0.9908850193023682,1.5325373411178589
1.1373697519302368,1.5671682357788086,1.558198094367981,1.122871994972229,0.8646671175956726,1.2047271728515625,0.9940633773803711,1.5362447500228882
1.1406193971633911,1.5715174674987793,1.5625221729278564,1.1250007152557373,0.8693729043006897,1.2086942195892334,0.9969214200973511,1.5394874811172485
1.1435534954071045,1.5754108428955078,1.5663964748382568,1.1268621683120728,0.873760461807251,1.2123215198516846,0.9994765520095825,1.5422940254211426
1.1461713314056396,1.5788512229919434,1.569810152053833,1.128446102142334,0.8777869343757629,1.2155760526657104,1.0017313957214355,1.5446988344192505
1.148490071296692,1.5818692445755005,1.5728002786636353,1.1297788619995117,0.8814755082130432,1.2184900045394897,1.0037075281143188,1.5467350482940674
1.1505248546600342,1.5844899415969849,1.5753788948059082,1.1308640241622925,0.8848035931587219,1.221051573753357,1.0054216384887695,1.5484528541564941
1.1522963047027588,1.5867478847503662,1.577582597732544,1.1317238807678223,0.8877924084663391,1.2232893705368042,1.006898045539856,1.5498902797698975
1.1538293361663818,1.5886805057525635,1.579439640045166,1.132373332977295,0.8904419541358948,1.225213885307312,1.0081628561019897,1.5510990619659424
1.1551450490951538,1.590321660041809,1.5809884071350098,1.1328356266021729,0.8927804827690125,1.2268593311309814,1.0092400312423706,1.5521092414855957
1.1562668085098267,1.5917065143585205,1.582265853881836,1.1331336498260498,0.8948332071304321,1.2282572984695435,1.010154128074646,1.5529519319534302
1.1572129726409912,1.5928618907928467,1.5833157300949097,1.1333011388778687,0.8966494202613831,1.229457974433899,1.010924220085144,1.5536302328109741
1.1580252647399902,1.5938434600830078,1.5841875076293945,1.1333651542663574,0.8982550501823425,1.2304903268814087,1.01158607006073,1.5541985034942627
1.1587587594985962,1.5947234630584717,1.5849566459655762,1.133375883102417,0.8997055888175964,1.2314074039459229,1.0121839046478271,1.5547086000442505
1.1595124006271362,1.5956306457519531,1.5857398509979248,1.1334052085876465,0.9010609984397888,1.2322711944580078,1.0127947330474854,1.5552760362625122
1.160284161567688,1.5965650081634521,1.5865525007247925,1.1334702968597412,0.9023467898368835,1.2331112623214722,1.0134190320968628,1.555885910987854
1.1610655784606934,1.597517490386963,1.587387204170227,1.1335643529891968,0.9035608172416687,1.2339305877685547,1.0140527486801147,1.5565332174301147
1.1618582010269165,1.5984911918640137,1.5882577896118164,1.133700966835022,0.9047272205352783,1.2347512245178223,1.0146970748901367,1.557206392288208
1.1626845598220825,1.5995160341262817,1.589188814163208,1.1338934898376465,0.9058588743209839,1.2355865240097046,1.0153698921203613,1.557935118675232
1.1635531187057495,1.600602149963379,1.5901989936828613,1.1341593265533447,0.9069797396659851,1.2364566326141357,1.016075611114502,1.5587162971496582
1.1644822359085083,1.6017740964889526,1.5913071632385254,1.1345078945159912,0.9080978035926819,1.2373692989349365,1.0168282985687256,1.5595752000808716
1.1654706001281738,1.6030290126800537,1.5925185680389404,1.134948492050171,0.9092280268669128,1.238335371017456,1.0176247358322144,1.5604981184005737
1.1665270328521729,1.6043782234191895,1.5938396453857422,1.1354827880859375,0.9103706479072571,1.2393542528152466,1.018471598625183,1.561501145362854
1.1676405668258667,1.6058061122894287,1.595262885093689,1.136112093925476,0.9115326404571533,1.24042809009552,1.0193573236465454,1.5625590085983276
1.1688125133514404,1.607314109802246,1.596785306930542,1.1368316411972046,0.9127081632614136,1.2415504455566406,1.0202829837799072,1.563679575920105
1.1700248718261719,1.6088773012161255,1.5983901023864746,1.1376368999481201,0.9138981699943542,1.2427171468734741,1.0212314128875732,1.564829707145691
1.1712744235992432,1.6104910373687744,1.6000678539276123,1.1385188102722168,0.9150923490524292,1.2439167499542236,1.0221999883651733,1.5660121440887451
1.172537922859192,1.612123727798462,1.6017963886260986,1.1394689083099365,0.9162875413894653,1.2451411485671997,1.0231677293777466,1.5671888589859009
1.1738097667694092,1.6137669086456299,1.6035619974136353,1.1404753923416138,0.9174706339836121,1.246376633644104,1.0241303443908691,1.568359375
1.1750637292861938,1.6153857707977295,1.6053390502929688,1.141527533531189,0.9186351895332336,1.2476118803024292,1.0250638723373413,1.5694823265075684
1.1762925386428833,1.6169705390930176,1.6071125268936157,1.1426122188568115,0.9197664260864258,1.248831868171692,1.0259634256362915,1.5705567598342896
1.17746901512146,1.6184847354888916,1.6088554859161377,1.1437177658081055,0.920855700969696,1.2500239610671997,1.0268044471740723,1.571540117263794
1.1785863637924194,1.6199195384979248,1.6105538606643677,1.1448311805725098,0.9218875765800476,1.2511729001998901,1.0275827646255493,1.5724323987960815
1.1796166896820068,1.6212385892868042,1.6121807098388672,1.145940899848938,0.9228518605232239,1.2522660493850708,1.0282739400863647,1.5731924772262573
1.1805548667907715,1.6224365234375,1.6137244701385498,1.1470348834991455,0.9237331748008728,1.2532893419265747,1.0288758277893066,1.5738223791122437
1.1813746690750122,1.6234787702560425,1.615160346031189,1.1481032371520996,0.9245211482048035,1.2542312145233154,1.0293656587600708,1.5742839574813843
