time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,2.610626421372739e-06,7.029275313864802e-06,0.0025840922781896797,0.0005215018563165851,0.001404167830812656,0.2584044567373787,-0.009266749202695108,0.0034415574114083102,-1.5933522724659224e-05,-0.9259375746328805,0.3438897380882245,0.0,-0.9259485418677298,0.34387497283391155,-0.0031867132196801377
0.04,3.220848092511426e-05,8.493029362348627e-05,0.009395198482842173,0.0027022111332282964,0.006917819592504482,0.422696705418685,-0.018116453488511375,0.007835288693215236,-2.7990629752626343e-05,0.04020417097989004,0.09564308971677402,0.005148259011095735,0.04023092743508798,0.09572065792663906,0.003414900205782905
0.06,0.00011845444050581944,0.0002930589760519483,0.019480483342873882,0.006213275174339553,0.014411706766838915,0.5858165210263391,-0.0267557774466192,0.012700755158200266,1.0492599652847411e-05,-0.9034327335768819,0.3904540669908212,0.009271084928960938,-0.9034476944617661,0.390562343324107,-0.0011779840589600519
0.08,0.0002961850938863696,0.0006941382501962226,0.03277952873190499,0.011944992974927472,0.026430675463732657,0.7440569754780864,-0.03918915719468954,0.01923125973585429,1.78217173371256e-05,-0.340366596126753,0.2623063917702436,0.0133352700740056,-0.3403079701754963,0.26262745801411014,0.0030486596268144797
0.1,0.0006097456733186483,0.0013715097135798813,0.04918752408253797,0.019864150386427547,0.04210844251717251,0.8966944368734788,-0.052993217563093095,0.02704775575748774,3.622915653615493e-05,-1.0395475651199115,0.5181864099225614,0.024191540176360413,-1.0396365721690208,0.5187403612367394,-0.0032911382178757746
0.12000000000000001,0.0011104010751753265,0.0024150896586148047,0.06858063098587479,0.0306951760666363,0.06305450100254974,1.042551710627023,-0.06710823759273316,0.03573905462691395,2.3485650854342043e-05,-0.3724419740583982,0.3495790924041847,0.027264287644948922,-0.3723075062984729,0.35062050562496805,0.003763288959174499
0.14,0.0018528952492449214,0.00391300694680004,0.0908151509240811,0.04406486534723765,0.08750948774474542,1.1808217614897343,-0.08096380538786078,0.04495223681266659,5.4366655204535125e-05,-1.0127693663877637,0.5687521395724138,0.04348059056469383,-1.0128890148782028,0.5704055425949891,-0.0026625770844014717
0.16,0.0028922704556353295,0.005946635836934342,0.11573341635727287,0.060383481520900215,0.11658357388632384,1.3109145678069534,-0.09437549561303768,0.05440858357051957,5.771656151964507e-05,-0.3289377074103439,0.3733951748512404,0.040288211410016116,-0.32866965143905036,0.37553012113358364,0.004929153700821781
0.18,0.004282453702081725,0.008590702454898583,0.14317629781108987,0.07913822390002406,0.1485072739736608,1.4332738894772021,-0.1072508815369234,0.06398309586630009,0.00011027563267961913,-0.9584649491478726,0.5784308988263707,0.060725229382905185,-0.9585637490542522,0.581607668696587,-0.0015452104814544134
0.19999999999999998,0.006075577599403212,0.011913187228834544,0.17299282138220481,0.10066828335515583,0.18438576812824461,1.548270301682257,-0.11964870777185341,0.07361456465899802,0.0001322108327736062,-0.28196477411537835,0.37847655231441113,0.05115301028527961,-0.281550972286883,0.3818764818258257,0.005626275262747026
0.21999999999999997,0.008321726247933314,0.015976297359624882,0.2050370564223677,0.1244214448985403,0.22252040728573752,1.6560401149494062,-0.1313689518985668,0.0831248341613598,0.00020003561061101194,-0.8901684045330659,0.5640009283884116,0.07400259994071663,-0.8902112565853286,0.5688349211231595,-0.0005161085963811193
0.23999999999999996,0.011066540603751509,0.020833238773763543,0.2391540973694524,0.15050197822880731,0.2637089946374226,1.7555507256444958,-0.1421844448444032,0.09223425106782207,0.00023998273287291434,-0.19221976192647638,0.3381374313231841,0.05479655445876315,-0.1916344854724621,0.3424902145916008,0.006354549545020891
0.25999999999999995,0.014349114076986703,0.026526560277364504,0.2751735885418824,0.1781461109120414,0.3060848394560721,1.846291521571143,-0.15179748141426253,0.1005677788951829,0.0003270248982864673,-0.7695124424576929,0.4847887576743085,0.07526358642481529,-0.7694023821325924,0.49059510534431544,0.0010962364709613778
0.27999999999999997,0.01820012784458483,0.03308679985936679,0.3129165594791095,0.20728668389516283,0.3503310405648226,1.9279085479703197,-0.16020892422661054,0.10787832873174621,0.00038796127942125033,-0.0727426807799757,0.2367248671637718,0.04480963883611337,-0.07204172788983293,0.24084159631322657,0.006510244740355688
