r,att_out,pos_out
-4.30196671929121,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.321437260772526,0,0
-4.435227131110678,0,0
-4.434636118724227,0,0
-4.432031395179613,0,0
-4.427217096815225,0,0
-4.420993135237102,0,0
-4.413667925618224,0,0
-4.405921269733028,0,0
-4.3979308731018625,0,0
-4.389767164024379,0,0
-4.38153921478839,0,0
-4.373567686212945,0,0
-4.365901431363319,0,0
-4.3587072271773915,0,0
-4.3518084087640885,0,0
-4.345259877982764,0,0
-4.339104494715548,0,0
-4.3334096642209925,0,0
-4.328217971640414,0,0
-4.3233949775880935,0,0
-4.318861789206777,0,0
-4.314645233332347,0,0
-4.31090443012583,0,0
-4.307602547910246,0,0
-4.304946323380772,0,0
-4.30326681692759,0,0
-4.300106095278017,0,0
-4.29775587421135,0,0
-4.295836127835315,0,0
-4.2941319669115865,0,0
-4.292718031460995,0,0
-4.291562287565236,0,0
-4.290582217987392,0,0
-4.289788904846421,0,0
-4.289116477494544,0,0
-4.288497843033615,0,0
-4.287943774457347,0,0
-4.287451716299177,0,0
-4.287012888844677,0,0
-4.286637051007583,0,0
-4.286311517156971,0,0
-4.286018683540348,0,0
-4.28574913503517,0,0
-4.285488809672057,0,0
-4.28518693661933,0,0
-4.285069204982047,0,0
-4.284927421115638,0,0
-4.28475532822263,0,0
-4.284506205194674,0,0
-4.284224816784618,0,0
-4.2842587144238635,0,0
-4.284224751332774,0,0
-4.600784138053708,0,0
-4.596955154037636,0,0
-4.589539118687938,0,0
-4.578982919641227,0,0
-4.565946924852524,0,0
-4.5508166225778846,0,0
-4.534371969895719,0,0
-4.516430771851596,0,0
-4.498648117894402,0,0
-4.4811906323223,0,0
-4.464050546044635,0,0
-4.447921510329961,0,0
-4.432471413916286,0,0
-4.4177905171585286,0,0
-4.403497555619126,0,0
-4.390052084701164,0,0
-4.377417783561437,0,0
-4.366358539095945,0,0
-4.356317548367668,0,0
-4.3476869882886,0,0
-4.338871917270751,0,0
-4.331708486421513,0,0
-4.325156672116673,0,0
-4.319223243612495,0,0
-4.313812773850377,0,0
-4.3088773364709745,0,0
-4.3043595803384855,0,0
-4.300340675405237,0,0
-4.297012985004523,0,0
-4.294070303619725,0,0
-4.291443946526386,0,0
-4.28910662405762,0,0
-4.287241316424437,0,0
-4.285767749885975,0,0
-4.284366321989031,0,0
-4.28307562020088,0,0
-4.281895120478896,0,0
-4.280783758729832,0,0
-4.279842712459929,0,0
-4.279004404552052,0,0
-4.278126899357191,0,0
-4.277340034110246,0,0
-4.276870146488835,0,0
-4.276424438154828,0,0
-4.276019714637656,0,0
-4.275658999816473,0,0
-4.275336578361779,0,0
-4.275052294457359,0,0
-4.274939352406873,0,0
-4.274992140467975,0,0
-4.274995419090214,0,0
-4.831323865218692,0,0
-4.823050651137619,0,0
-4.8078649781691025,0,0
-4.78797575768178,0,0
-4.764841292648996,0,0
-4.739279809714979,0,0
-4.712660359785423,0,0
-4.685130988715156,0,0
-4.656960559373215,0,0
