time,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi,ref_dot_phi,ref_dot_theta,ref_dot_psi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3962634015954636,1.3962634015954636,1.7545963379714413,1.0743803945461965e-16,1.0743803945461965e-16
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.035088232546133045,-1.3958224466499036,1.3958224466499036,1.7540422176444272,0.04409317343775284,-0.04409317343775262
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.07015430261252983,-1.3944998603298189,1.3944998603298189,1.7523802066576606,0.08815849668209565,-0.08815849668209544
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.10517606171775132,-1.3922964780090763,1.3922964780090763,1.7496113547729029,0.13216813713039774,-0.13216813713039752
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.14013138936811126,-1.3892136913911761,1.3892136913911761,1.7457374108563506,0.1760942973504757,-0.17609429735047546
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1749982070294542,-1.3852534476302203,1.3852534476302203,1.7407608217740131,0.2199092326380476,-0.2199092326380474
0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.20975449207243071,-1.3804182481010498,1.3804182481010498,1.73468473084622,0.26358526854088277,-0.2635852685408825
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.2443782916824624,-1.3747111468193223,1.3747111468193223,1.7275129758622327,0.30709481833857893,-0.30709481833857877
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.2788477367256097,-1.3681357485125296,1.3681357485125296,1.7192500866562144,0.3504104004669264,-0.35041040046692623
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.313141055561586,-1.3606962063431758,1.360696206343176,1.7099012822460888,0.3935046558758527,-0.3935046558758525
0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.3472365877951921,-1.3523972192855493,1.3523972192855496,1.6994724675370987,0.43635036530998506,-0.4363503653099849
0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.38111279795748604,-1.3432440291577519,1.3432440291577519,1.6879702295921388,0.47892046650091574,-0.4789204665009155
0.23999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.41474828910804706,-1.3332424173108515,1.3332424173108517,1.6754018334712273,0.5211880712603105,-0.5211880712603103
0.25999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.4481218163497414,-1.3223987009772595,1.3223987009772595,1.6617752176427376,0.5631264824630648,-0.5631264824630646
0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.4812123002474552,-1.3107197292806299,1.31071972928063,1.6470989889692917,0.6047092109097804,-0.6047092109097801
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5139988401423168,-1.2982128789098064,1.2982128789098066,1.6313824172714815,0.6459099920579111,-0.6459099920579109
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.5464607273530019,-1.2848860494595475,1.2848860494595475,1.6146354294728504,0.6867028026110105,-0.6867028026110104
0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.5785774582557794,-1.2707476584409734,1.2707476584409734,1.5968686033298374,0.727061876955605,-0.7270618769556048
0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.6103287472350405,-1.2558066359648847,1.2558066359648847,1.5780931607506377,0.7669617234353061,-0.7669617234353063
0.38000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.6416945394961276,-1.2400724191013148,1.240072419101315,1.5583209607072055,0.8063771404518881,-0.8063771404518879
0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6726550237323734,-1.2235549459188726,1.2235549459188726,1.5375644917448745,0.845283232383157,-0.8452832323831564
0.4200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.7031906446383456,-1.206264649207645,1.2062646492076452,1.5158368640943225,0.8836554253075589,-0.8836554253075587
0.4400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.7332821152613977,-1.1882124498896252,1.1882124498896252,1.4931518013908704,0.9214694825255967,-0.9214694825255965
0.46000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.7629104291837218,-1.1694097501208223,1.1694097501208225,1.4695236320063405,0.9587015198682467,-0.9587015198682464
0.48000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.7920568725272092,-1.149868426089416,1.149868426089416,1.444967279998947,0.9953280207827152,-0.995328020782715
0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.8207030357735364,-1.129600820514502,1.129600820514502,1.4194982556869447,1.0313258511859933,-1.0313258511859928
0.5200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.8488308253920127,-1.1086197348501645,1.1086197348501647,1.3931326458519764,1.066672274076843,-1.066672274076843
0.5400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.8764224752678407,-1.0869384211998057,1.0869384211998054,1.3658871035783189,1.1013449638969723,-1.1013449638969723
0.5600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.903460557923576,-1.0645705739458307,1.0645705739458309,1.3377788377344366,1.135322020632337,-1.135322020632337
0.5800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.9299279955266954,-1.0415303210999847,1.0415303210999851,1.308825602103492,1.1685819836456592,-1.1685819836456588
0.6000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.9558080706763212,-1.0178322153797958,1.017832215379796,1.2790456841696762,1.201103845231426,-1.2011038452314255
