time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.009376764934094652,-0.014789167170921283,0.02238408407015687,0.9639015294240675,-1.4603177285524733,2.2443455197903295,0.9309110881894594,-1.4812979227221124,2.230797954517528
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.03256898685881854,-0.04879248127771558,0.06761591534642582,1.4990292137024215,-1.8430051831787793,2.3457631390383957,1.3874740090205062,-1.918413418906978,2.2872269951940445
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06251516347838275,-0.08798808505769502,0.11243108673170876,1.8002453611072515,-1.8596602526742823,2.305211178956822,1.6075354569755866,-2.0000443289052163,2.19301040228463
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.09568702326990994,-0.12761696632304054,0.15518985773920327,1.9752721237524684,-1.7553961788587469,2.244503459296631,1.710107598042584,-1.9618083649933116,2.083466267613577
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.13033796723527652,-0.1660725308433416,0.19571901254046759,2.0811391211793624,-1.6142729287454394,2.1718522721985165,1.7553558614201263,-1.8828547184326048,1.9707390041174069
0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.16561523956090468,-0.20281109547189874,0.23398972054782316,2.1468579498326634,-1.4657670036856885,2.0899560109425805,1.7726549743858677,-1.7902595224989293,1.8577910931275041
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.20110120191541098,-0.2376541097244823,0.2700119923992841,2.187181234286426,-1.320382910758646,2.0008555049487686,1.7761652564597,-1.6934413178126053,1.745859221088926
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.23658759275027882,-0.27055069547281335,0.3038122869215537,2.2097644765064777,-1.181899261825555,1.906109423280438,1.7726618029139085,-1.5957422318363008,1.6354829486785087
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.27196617693690683,-0.3014956236003076,0.3354242870742532,2.218776285978049,-1.0516461329785278,1.8069393808177434,1.7653657980702404,-1.4983831033047725,1.5268983794720126
0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.3071761953719796,-0.33050056985285636,0.36488489550027026,2.2166804324976046,-0.9300286943611012,1.7043402875483584,1.7557978327124042,-1.401833503928201,1.4202129369022747
0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.34217924547429757,-0.35758389723385703,0.39223252889685334,2.2051018865554424,-0.8170853428092655,1.5991437222328009,1.7446683530414628,-1.3062933252576319,1.3154793380976533
0.23999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.37694732770832723,-0.38276697500854484,0.41750638203294854,2.1852430921738004,-0.7127004786779231,1.4920536169490646,1.7323036664623286,-1.211864454925944,1.21272611681674
0.25999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.41145718671887943,-0.4060728351869581,0.4407460927059126,2.158082493758917,-0.6166904545337311,1.3836686881146574,1.7188491662375915,-1.1186126702471055,1.1119702177441864
0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.4456876537448993,-0.427525673214993,0.46199157321269896,2.124468736363119,-0.5288412133370116,1.274498827914154,1.7043660561112648,-1.0265900611162613,1.0132222854094841
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4796184167318599,-0.4471506541386675,0.48128291261643746,2.085165345879297,-0.4489264685815712,1.1649785779399633,1.6888772691777276,-0.9358430800390289,0.9164889691267604
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.5132294677118973,-0.46497382759683614,0.4986603105714531,2.040872157906356,-0.37671732735091173,1.0554789192098628,1.6723891836644968,-0.8464153185837823,0.8217739983691836
0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.5465008700510885,-0.48102207949416287,0.5141640264537489,1.992235995744919,-0.31198764275768054,0.9463178179223921,1.6549018225044696,-0.7583483570564099,0.7290787444004613
0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.5794126755585192,-0.49532309414322817,0.5278343369423518,1.9398564948759829,-0.2545168962112332,0.8377696561907066,1.6364135816704732,-0.6716819322307828,0.6384025616961941
0.38000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.6119449107267272,-0.5079053177790078,0.5397114990575587,1.8842898190000668,-0.20409145433729467,0.730073571052572,1.6169233657706916,-0.5864538876288028,0.5497430298607578
0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6440775938751445,-0.5187979207212666,0.549835717253668,1.8260515150344685,-0.16050466630125715,0.6234407017604017,1.596431500461895,-0.5027000768742854,0.4630961458691667
0.4200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6757907651817162,-0.5280307577727662,0.5582471138261661,1.765619047934563,-0.12355610834379821,0.5180603534378023,1.5749400721822913,-0.420454278719108,0.3784564876097319
0.4400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.7070645211819546,-0.5356343272057924,0.5649857021796242,1.703434227309141,-0.09305020822774672,0.41410510331420886,1.5524530031682033,-0.339748139757798,0.29581735820656374
0.46000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.7378790498549717,-0.5416397288677555,0.5700913626406462,1.6399055889965424,-0.06879444103352982,0.31173489517851555,1.5289760070248695,-0.2606111451425852,0.21517091618747267
