time,throttle,torque_x,torque_y,torque_z
0.0,17.652452676011723,-3.646413857440415,0.11535059576264269,-0.0
0.01,15.159284155799563,1.0152932161143218,-0.18385593908407719,0.0054995192532721485
0.02,14.938407880898634,0.7079365805139338,-0.007400010100398982,-0.013780684782683413
0.03,14.75535036291152,0.5531126996912068,-0.010273274038354457,-0.013062720000657535
0.04,14.565037979481444,0.4854328383140785,-0.01311624187272979,-0.013238842978071482
0.05,14.351013568885328,0.4046466552402233,-0.015576581939385286,-0.013249325993891878
0.060000000000000005,14.108746746447622,0.34971851346586896,-0.017621621899280994,-0.012959825541290403
0.07,13.840829212553679,0.28937491151127426,-0.019320412335962274,-0.011910819682674606
0.08,13.553366446161519,0.24026456464378892,-0.020691660503494087,-0.010274439849467205
0.09,13.254348719713287,0.19969472336399235,-0.02173770983169724,-0.008051023039153992
0.09999999999999999,12.951516212117111,0.16501369149476933,-0.022459517318683467,-0.005292905302135811
0.10999999999999999,12.651699577632032,0.13400885969063098,-0.02285506045224595,-0.002095651212870184
0.11999999999999998,12.360562527067906,0.10496866846282119,-0.0229232400135744,0.001406223007335345
0.12999999999999998,12.082521204115062,0.07668084377662526,-0.022667277870882758,0.005044286000954669
0.13999999999999999,11.820760341735275,0.048389094415550525,-0.022094291174729927,0.008625144271876628
0.15,11.577278740912659,0.019749503660248104,-0.02121793361870791,0.011940889442540153
0.16,11.352959595888766,-0.009236019117493144,-0.020061072939090388,0.01478303006430996
0.17,11.147649558293448,-0.038314844701152394,-0.018659827614965308,0.016958756646966746
0.18000000000000002,10.960266842566714,-0.06720854124272055,-0.017065593448126,0.018308316311613025
0.19000000000000003,10.788927812975459,-0.09641547377906098,-0.015344539893240626,0.018717727187686505
0.20000000000000004,10.6310970738178,-0.14459674063731368,-0.013477201564776841,0.01811023716772008
0.21000000000000005,10.483679789054376,-0.14301928592624316,-0.011931086087851768,0.016067497780412505
0.22000000000000006,10.343249799313176,-0.12155186175502114,-0.010825725449297175,0.013693960433394613
0.23000000000000007,10.207041785672038,-0.09793622468335152,-0.01010579809437288,0.011542636839977975
0.24000000000000007,10.073240965870367,-0.07489815975225492,-0.009696989379071753,0.009763591817515084
0.25000000000000006,9.940811740513258,-0.053484266825105424,-0.009520003735559735,0.008411200188271982
0.26000000000000006,9.809218607445581,-0.03419131446966284,-0.009509384834538068,0.007492628983886958
0.2700000000000001,9.678376859963832,-0.017343792295032155,-0.009593947021882602,0.006986203001993205
0.2800000000000001,9.548313179905596,-0.003136009237776822,-0.009738552623980042,0.0068578890187927085
0.2900000000000001,9.4193971750594,0.008218809319245582,-0.009872950181115177,0.007055414795381529
0.3000000000000001,9.29182158764588,0.016557599210637892,-0.009995507584061656,0.007527558542609393
0.3100000000000001,9.166139444851671,0.021552395696733534,-0.01002134127984987,0.008196021726218018
0.3200000000000001,9.042546354357135,0.022986788624224035,-0.009970272024350859,0.008987614197269973
0.3300000000000001,8.921578939107727,0.020736656068443392,-0.009743275084606793,0.009788340433552036
0.34000000000000014,8.803372482692975,0.015723899918055992,-0.00938163136893205,0.010502564641227967
0.35000000000000014,8.688285107084718,0.009592128649027405,-0.0088376134915637,0.011030141237737975
0.36000000000000015,8.576380439511603,0.0036528084954681327,-0.00817462268851072,0.011339800770994777
0.37000000000000016,8.467851550461983,-0.001731870485225381,-0.007366240157285541,0.011412945016140725
0.38000000000000017,8.3627328387958,-0.006448212643382945,-0.006452221171043742,0.011262239293253
0.3900000000000002,8.261046578641654,-0.01049255104482913,-0.005448607729015295,0.010901389860377189
0.4000000000000002,8.162629769145541,-0.013774370965756087,-0.004429935562161193,0.01036953223578524
0.4100000000000002,8.067130090652288,-0.01615631169095698,-0.0034952982314342467,0.009726427309501358
0.4200000000000002,7.973935972792597,-0.01744858658839761,-0.00278383735130406,0.009061145652331792
0.4300000000000002,7.882223664325254,-0.017500602888734867,-0.0024361687174473,0.008479604149375155
0.4400000000000002,7.79106761178233,-0.016294025030830654,-0.0025550012400637626,0.00808440258319102
0.45000000000000023,7.699626544226897,-0.01401878529661255,-0.003162241273748319,0.007947079360912603
0.46000000000000024,7.607340343872273,-0.011079125762768984,-0.004174341044568267,0.008084129809537915
0.47000000000000025,7.5140575059085295,-0.007993338066930363,-0.00541921511642399,0.008452034683660783
0.48000000000000026,7.4200544190412945,-0.005260278552453506,-0.00667833036333806,0.008959803414641917
0.49000000000000027,7.3259535826051305,-0.0032463102072592927,-0.007735239650925455,0.009491562733571574
0.5000000000000002,7.232582564978317,-0.002129859225239468,-0.008414445660835684,0.009930140677792491
0.5100000000000002,7.140829436347451,-0.0019181197354527467,-0.008599009332346518,0.010173441966979281
0.5200000000000002,7.051529176306268,-0.0024947446145478433,-0.008231772688960918,0.010143049527744353
0.5300000000000002,6.965389007242523,-0.003675377758606969,-0.007309030377170211,0.009788144962844381
0.5400000000000003,6.8829563028299585,-0.00525799378158124,-0.0058664432028513675,0.009083974335530038
0.5500000000000003,6.8046087204396395,-0.007045275521601189,-0.003971645853373611,0.00803196975439715
0.5600000000000003,6.730564118538662,-0.008864725623467072,-0.0017112254305659466,0.00665560996249655
0.5700000000000003,6.660899148167391,-0.010573973032919064,0.0008187293400666361,0.0049963812607917235
0.5800000000000003,6.595570814548563,-0.012058836885186183,0.0035225231721434497,0.0031080175352519632
0.5900000000000003,6.534438968262751,-0.013236074747269183,0.006311834312061956,0.0010511372921041971
0.6000000000000003,6.477287705842789,-0.014055390194404393,0.009108563584224409,-0.0011107761713623438
