k11,k12,k13,k21,k22,k23,gamma,lambda
27.271709442138672,8.755801916122437,17.12274432182312,0.2184152603149414,0.0241934135556221,0.0368441104888916,2.52812123298645,2.7465336322784424
25.235812664031982,7.78086245059967,16.021090745925903,0.20429089069366457,0.02530049979686737,0.03353757262229919,2.35152530670166,2.495349168777466
27.066802978515625,8.73153030872345,17.040016651153564,0.21694915294647218,0.02429446876049042,0.0370553195476532,2.510355234146118,2.7181291580200195
25.672078132629395,8.477166295051575,16.559536457061768,0.20691440105438233,0.024219560623168948,0.03764671385288239,2.378622055053711,2.5280816555023193
26.352205276489258,8.612279891967773,16.821863651275635,0.21189124584198,0.02423616647720337,0.03746639788150787,2.44199538230896,2.6183159351348877
26.88771963119507,8.701387643814087,16.99892282485962,0.21569218635559084,0.024211499094963077,0.037153962254524234,2.4921581745147705,2.692652463912964
27.143359184265137,8.741153478622437,17.079850435256958,0.21749277114868165,0.024191923439502716,0.03696874380111694,2.5161256790161133,2.7284786701202393
27.23426342010498,8.754546642303467,17.1091628074646,0.21813590526580812,0.02418149709701538,0.036894154548645024,2.5246033668518066,2.7412712574005127
27.26100444793701,8.758046627044678,17.118269205093384,0.21832714080810547,0.024177330732345584,0.03686878383159638,2.527068614959717,2.745042324066162
27.269127368927002,8.758676052093506,17.121295928955078,0.21838672161102296,0.024176892638206483,0.03685886859893799,2.5278100967407227,2.7461864948272705
27.271695137023926,8.758445978164673,17.122374773025513,0.21840689182281495,0.02417862117290497,0.036853983998298645,2.5280494689941406,2.7465460300445557
27.27250576019287,8.757994174957275,17.122775316238403,0.2184144973754883,0.024181246757507324,0.03685098886489868,2.528134822845459,2.7466583251953125
27.27275848388672,8.75757098197937,17.122931480407715,0.21841783523559571,0.024183717370033265,0.03684898912906647,2.528170108795166,2.7466931343078613
27.272841930389404,8.757270574569702,17.122994661331177,0.21841955184936523,0.024185490608215333,0.03684769868850708,2.5281870365142822,2.746706247329712
27.27288007736206,8.757103085517883,17.12301254272461,0.21842048168182374,0.02418653964996338,0.03684696555137634,2.5281970500946045,2.746713399887085
27.272868156433105,8.757004737854004,17.122992277145386,0.2184208393096924,0.024187251925468445,0.036846560239791874,2.5282018184661865,2.746715545654297
27.27275848388672,8.756881952285767,17.122914791107178,0.21842057704925538,0.024188223481178286,0.036846238374710086,2.528200387954712,2.746704339981079
27.272496223449707,8.756644129753113,17.122769355773926,0.21841962337493898,0.024190008640289307,0.03684573471546173,2.5281906127929688,2.7466726303100586
27.27203607559204,8.756232261657715,17.122538089752197,0.2184177875518799,0.02419296056032181,0.03684489727020264,2.5281708240509033,2.746615171432495
27.271358966827393,8.755610585212708,17.122215032577515,0.2184150218963623,0.02419722229242325,0.0368436336517334,2.52813982963562,2.746527910232544
27.27041721343994,8.754741549491882,17.12177276611328,0.21841104030609132,0.024202947318553925,0.03684182763099671,2.5280940532684326,2.746405601501465
27.268388271331787,8.752923011779785,17.120802402496338,0.21840202808380127,0.02421449422836304,0.036838045716285704,2.527989625930786,2.746143341064453
27.268078327178955,8.752492070198059,17.1207332611084,0.2184008836746216,0.0242165744304657,0.03683684766292572,2.5279700756073,2.746098279953003
27.268733978271484,8.752908706665039,17.121134996414185,0.21840407848358157,0.02421332597732544,0.036837425827980046,2.528001070022583,2.746176242828369
27.26950168609619,8.753504753112793,17.12157368659973,0.21840755939483644,0.024209028482437136,0.03683848679065704,2.528036594390869,2.7462708950042725
27.270190715789795,8.754095435142517,17.121946811676025,0.21841046810150147,0.024204841256141665,0.03683966100215912,2.528067111968994,2.7463557720184326
27.270712852478027,8.75458836555481,17.122223377227783,0.21841251850128174,0.02420138567686081,0.036840718984603886,2.5280885696411133,2.74642014503479
27.271065711975098,8.754955530166626,17.122408151626587,0.21841373443603518,0.024198818206787112,0.03684157431125641,2.528101682662964,2.7464635372161865
27.27128505706787,8.755216002464294,17.122522592544556,0.21841435432434084,0.024197015166282657,0.03684223592281342,2.5281081199645996,2.7464890480041504
27.271409034729004,8.75540316104889,17.1225905418396,0.21841459274291994,0.024195735156536103,0.036842772364616395,2.5281107425689697,2.7465038299560547
27.271485328674316,8.75554084777832,17.122628688812256,0.21841459274291994,0.024194815754890443,0.03684318959712982,2.5281107425689697,2.7465121746063232
27.271528244018555,8.755640983581543,17.122650146484375,0.21841456890106203,0.024194158613681793,0.036843514442443846,2.5281107425689697,2.7465174198150635
27.271556854248047,8.755701184272766,17.12265968322754,0.2184145450592041,0.024193775653839112,0.03684370219707489,2.5281102657318115,2.7465200424194336
27.271568775177002,8.755719661712646,17.122663259506226,0.21841456890106203,0.02419366240501404,0.03684376478195191,2.528110980987549,2.7465217113494873
27.271556854248047,8.755688667297363,17.12265968322754,0.21841461658477784,0.024193871021270755,0.036843654513359074,2.528111219406128,2.746520757675171
27.271523475646973,8.75561535358429,17.12264657020569,0.21841461658477784,0.02419433742761612,0.03684342503547668,2.528110980987549,2.746516704559326
27.271459102630615,8.755509853363037,17.12262272834778,0.2184145212173462,0.02419499158859253,0.03684312105178833,2.528109312057495,2.7465085983276367
27.27137327194214,8.755388259887695,17.1225905418396,0.2184142827987671,0.024195739626884462,0.036842793226242065,2.528106212615967,2.7464969158172607
27.271268367767334,8.755249977111816,17.122552394866943,0.21841392517089844,0.024196560680866244,0.036842438578605655,2.5281014442443848,2.7464823722839355
27.2711443901062,8.755098581314087,17.12251305580139,0.21841349601745608,0.0241974413394928,0.03684206604957581,2.528095006942749,2.7464654445648193
