,sumr_list
222,-4380.2742170278925
223,-2083.0119936310884
224,-1906.2893416410584
225,-4800.966314732361
226,-9631.913758633946
227,-41.949315517258434
228,-3570.692970456537
229,-741.6716122206523
230,-1592.679289428506
231,-10525.44860729911
232,-2212.741825808352
233,-8453.194937564253
234,-1871.398009274146
235,-5544.39776182232
236,-2050.4027207616664
237,-1732.5296527069088
238,-3043.6645920901096
239,-4769.6468979408
240,-3172.809538596228
241,-3312.7016518723253
242,-2140.8295596173634
243,-4206.669536755189
244,-2812.9204506580786
245,-2668.2090835780696
246,-2492.468500685316
247,-5206.065403645267
248,-2378.7839590668978
249,-2610.704075224483
250,-1980.4596685747704
251,-3426.8780114420374
252,-900.845046867606
253,-4923.89846235418
254,-137.50861269223378
255,-834.253177338173
256,-3236.402013266586
257,-3554.1917183780356
258,-2924.3910037269798
259,-2149.794215078789
260,-9288.966854781132
261,0.0
262,-2408.4157042763627
263,-4256.406147369907
264,-1876.1491051265464
265,-8096.636453301003
266,-763.9241698956316
267,-2409.835716242402
268,-1202.1182524419974
269,-2491.27995620183
270,-4199.922300167087
271,-3208.750599422183
272,-766.5789450081686
273,-9243.26105103949
274,-835.9030776069117
275,-2406.20277851577
276,-2984.2126467484986
277,-2178.4229545858425
278,-1773.6339173983754
279,-2919.4098555857568
280,-3355.0023815756294
281,-2546.3879285997095
282,-2367.2357975583673
283,-3184.671691173275
284,-1360.5258279430582
285,-2782.4198674499994
286,-4150.404288873513
287,-2041.2092959864913
288,-9688.548095504975
289,-3521.9968680919155
290,-1084.5088413418418
291,-2071.4528384627315
292,-3147.2567399840896
293,-1162.070147749627
294,-2208.615284757867
295,-2314.8374874963943
296,-3860.110397456525
297,-2588.9458669314786
298,-7282.606377987013
299,-2666.488830740734
300,-2440.5985600606764
301,-1988.984176681327
302,-6346.854365491537
303,-4193.0683312401325
304,-8771.633249884297
305,-11143.332823446623
306,-11357.901503537109
307,-997.2065901864248
308,-7195.984026537841
309,-4730.101821438392
310,-3228.6273794045587
311,-2519.276512475725
312,-2775.5591388211333
313,-8387.668541574332
314,-3573.847791249859
315,-2607.9126641014363
316,-2759.801233676156
317,-3222.9221942522363
318,-2106.8630416655333
319,-2041.5437419515797
320,-3063.3305106363255
321,-4884.436338590451
322,-3631.2739671678014
323,-8691.012509490156
324,-3146.2630326514673
325,-3137.751703162845
326,-1157.6970893336013
327,-2819.779840781999
328,-3324.420829795007
329,-2185.7507062673753
330,-3947.2812001233383
331,-3483.2038679970224
332,-806.8409997580269
333,-5284.100820780316
334,-4055.586540268265
335,-7799.736924888223
336,-4082.1564948186815
337,-2036.2530038806258
338,-6957.173728363918
339,-1913.801618434942
340,-1968.7532359090817
341,-6801.111022314931
342,-3444.689564337354
343,-4635.6523574031835
